,Id,HubId,RelativeToMaxCap
120,1779,1155_2022-02-15,0.7876984126984127
121,1780,1155_2022-03-31,0.8690476190476191
122,1784,1155_2022-02-23,0.8412698412698413
123,1785,1155_2022-03-15,0.9702380952380952
124,1786,1155_2022-03-08,0.7837301587301587
125,1788,1155_2022-02-11,0.9464285714285715
126,1789,1155_2022-03-21,0.8756461169944529
127,1790,1155_2022-02-24,0.8273809523809524
128,1791,1155_2022-03-10,0.7996031746031745
129,1792,1155_2022-03-01,0.8690476190476191
130,1793,1155_2022-02-21,0.8630952380952381
131,1794,1155_2022-03-14,1.0
132,1795,1155_2022-03-16,0.7698412698412698
133,1796,1155_2022-02-17,0.8829365079365079
134,1797,1155_2022-03-23,0.8531746031746031
135,1798,1155_2022-03-02,0.7837301587301587
136,1799,1155_2022-03-22,0.8134920634920636
137,1801,1155_2022-03-29,0.8273809523809524
138,1802,1155_2022-04-04,1.0
139,1866,4599_2022-01-08,0.6565094674622328
140,1929,4599_2022-01-14,0.7032448377581121
141,1931,4599_2022-01-28,0.8070796460176991
142,1932,4599_2022-01-07,0.8023598820058998
143,1936,4599_2022-02-18,0.7339233038348082
144,1937,4599_2022-02-19,0.1599590563916646
145,1942,4599_2022-04-22,0.6591411122284795
146,1945,4599_2022-01-17,0.7935103244837758
147,1946,4599_2022-01-04,0.8023598820058998
148,1948,4599_2022-02-26,0.7905604719764012
149,1967,4599_2022-02-24,0.8784660766961653
150,1991,4599_2022-04-25,0.7675516224188791
151,1992,4599_2022-01-20,0.7415929203539823
152,1993,4599_2022-01-29,0.6867256637168141
153,1994,4599_2022-01-22,0.6227826445874677
154,1997,4599_2022-02-05,0.7168141592920354
155,2000,4599_2022-02-25,0.7575221238938052
156,2010,4599_2022-01-10,0.7374631268436578
157,2012,4599_2022-03-04,0.7138643067846608
158,2022,4599_2022-01-26,0.7781710914454277
159,2023,4599_2022-02-10,0.7722713864306785
160,2025,4599_2022-01-13,0.691487380441584
161,2026,4599_2022-01-21,0.7268436578171092
162,2027,4599_2022-01-24,0.7457227138643067
163,2028,4599_2022-03-11,0.8123893805309734
164,2038,4599_2022-02-07,0.7893805309734514
165,2039,4599_2022-01-05,0.617154148565299
166,2041,4599_2022-01-25,0.7581120943952803
167,2044,4599_2022-02-15,0.8967551622418878
168,2047,4599_2022-02-22,0.7999999999999999
169,2054,4599_2022-02-01,0.8265486725663717
170,2055,4599_2022-02-04,0.7150442477876107
171,2057,4599_2022-01-19,0.8230088495575222
172,2058,4599_2022-02-02,0.7705014749262536
173,2059,4599_2022-02-23,0.7415929203539823
174,2062,4599_2022-03-03,0.7238938053097345
175,2063,4599_2022-03-18,0.8041297935103245
176,2068,4599_2022-03-20,0.14399651359199053
